Location,State,Country,Size,Bedrooms,Bathrooms,Age_of_Building,Amenities,Distance_to_Nearest_School,distance_to_nearest_Shopping,distance_to_nearest_Rail_Bus_Metro,Floor_Number,View,Renovated,Balcony_Area,Garage_Capacity,Property_Type,Price_$
Porterville,Los_Angeles,US,3511,3,4,19,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,3,3,1,Lake,No,286,1,Villa,149819
Vestavia Hills,Chicago,US,3019,3,3,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",4,1,4,1,Ocean,No,107,2,Apartment,333043
Toledo,New_York,US,3808,5,5,5,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,0,1,3,Lake,Yes,381,2,House,271528
Carlsbad,Denver,US,2174,4,3,10,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",1,0,2,1,City,No,256,3,Villa,220292
Independence,Chicago,US,1691,2,4,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,5,4,1,Ocean,Yes,205,3,Villa,434823
Sun City Center,New_York,US,3981,2,3,27,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",0,2,3,3,Sea,No,205,3,Villa,153022
Taunton,New_York,US,2046,3,3,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",5,2,3,2,City,Yes,272,0,Villa,400512
Indio,Los_Angeles,US,3651,5,3,15,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,3,1,1,Sea,Yes,114,1,Apartment,483243
Coralville,Chicago,US,2009,1,4,14,"['Swimming pool', 'Gym', 'Parking, Engery_Rating B']",0,2,2,1,Sea,No,319,3,Villa,175994
Gainesville,New_York,US,2605,4,3,30,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",1,2,5,1,Sea,No,174,1,House,189406
Huntley,Chicago,US,1232,2,3,8,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",3,2,3,1,Ocean,Yes,493,1,Apartment,207032
Fort Washington,New_York,US,2517,5,2,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,0,3,3,Lake,Yes,221,1,House,140464
Visitacion Valley,Los_Angeles,US,2201,5,4,21,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",5,2,4,2,Lake,No,274,0,Apartment,407542
Port Huron,Detroit,US,2192,1,4,7,"['Swimming pool', 'Gym', 'Parking, Engery_Rating A']",3,2,4,3,Country,No,336,2,House,228937
Front Royal,New_York,US,1630,1,3,26,"['Swimming pool', 'Gym', 'Parking, Engery_Rating C']",4,1,2,3,Ocean,No,273,3,Apartment,351187
